"","Alfalfa_Early","Alfalfa_Late","Compost_Early","Compost_Late","Mix_Early","Mix_Late"
"Otu00952",NA,NA,NA,4.24986686324597,NA,NA
"Otu01212",NA,NA,NA,5.43202021555522,NA,4.41582188636858
"Otu01232",NA,NA,NA,5.73191869585,NA,4.73718548305518
"Otu01233",NA,NA,NA,5.70223306084502,NA,5.14684171304079
"Otu01237",NA,NA,NA,4.19435268304665,NA,NA
"Otu01252",NA,NA,NA,4.72492003974545,NA,4.0048390071624
"Otu01298",NA,NA,NA,5.25599626680868,NA,5.07899508791995
"Otu01307",NA,NA,NA,4.6192923819023,NA,NA
"Otu01352",NA,NA,NA,5.75785252886811,NA,4.30328334343268
"Otu01448",NA,NA,NA,4.53415794774512,NA,4.25892200693207
"Otu01681",NA,NA,NA,5.39222108176749,NA,4.39678726451978
"Otu01683",NA,NA,NA,4.32544704411176,NA,5.14532526227758
"Otu01717",NA,NA,NA,4.25153364473749,NA,NA
"Otu01762",NA,NA,NA,4.1491946218473,NA,NA
"Otu01874",NA,NA,NA,4.0212541933597,NA,NA
"Otu01877",NA,NA,NA,4.72072791203671,NA,NA
"Otu02260",NA,NA,NA,4.54576130524608,NA,NA
"Otu02322",NA,NA,NA,4.80143630674556,NA,NA
"Otu02391",NA,NA,NA,4.96238355233329,NA,NA
"Otu02800",NA,NA,NA,4.65730311853413,NA,NA
"Otu03022",NA,NA,NA,4.70624479242047,NA,NA
"Otu03151",NA,NA,NA,4.36839598372363,NA,NA
"Otu03497",NA,NA,NA,4.14399343962552,NA,NA
"Otu00122",NA,NA,NA,NA,4.08944001399127,NA
"Otu01673",NA,NA,NA,NA,4.05108365729484,NA
"Otu02419",NA,NA,NA,NA,NA,4.36658972743509
